State,Two Letter State,2016,2017,2018,2019,2020,2021,2022,2023
Alabama,AL,4314476,4324631,4345270,4358884,4467001,4480402,4511000,4541378
Alaska,AK,469850,468520,548898,544512,545179,545351,546029,545897
Arizona,AZ,6694514,6776805,6942498,7046148,6948635,7043824,7124056,7193898
Arkansas,AR,2840231,2855468,2867653,2871439,2866138,2879134,2897922,2918946
California,CA,36641304,36908889,38106418,38063240,38051212,37798915,37598067,37536270
Colorado,CO,5197242,5259724,5396543,5456398,5480628,5506931,5533326,5569031
Connecticut,CT,2704505,2713377,2715564,2709956,2736539,2740596,2756260,2749397
Delaware,DE,755629,763466,781453,786780,801422,810712,822842,833745
District of Columbia,DC,681170,693972,702455,705749,690093,670050,671803,678972
Florida,FL,18521077,18855298,18714257,18871015,18952021,19137584,19545001,19866495
Georgia,GA,8681891,8782102,8959918,9043344,9135654,9198484,9294995,9394097
Hawaii,HI,1370079,1369102,1364632,1360195,1394816,1384866,1383562,1378703
Idaho,ID,1219353,1243842,1334224,1359215,1405388,1445814,1474799,1494341
Illinois,IL,11648817,11649257,11600611,11537552,11640823,11537231,11455800,11426352
Indiana,IN,4936187,4961314,4996245,5026364,5066252,5081439,5101636,5123409
Iowa,IA,2526141,2535020,2657024,2656119,2684404,2688117,2694378,2699840
Kansas,KS,2753541,2759067,2762230,2763946,2785355,2784124,2786560,2789782
Kentucky,KY,3758413,3772995,4023426,4022770,4055441,4060336,4062962,4075427
Louisiana,LA,4074943,4077264,4169527,4159520,4161676,4137378,4107130,4092373
Maine,ME,769362,771920,673397,676320,685410,690425,697013,702236
Maryland,MD,4901590,4930699,4610160,4612420,4709311,4703551,4703193,4715090
Massachusetts,MA,6256423,6300547,6276435,6267663,6385621,6351523,6349023,6366688
Michigan,MI,7240436,7265240,7379404,7372717,7432372,7419930,7407603,7409927
Minnesota,MN,4346035,4390640,4408195,4430548,4483603,4483780,4491474,4507760
Mississippi,MS,2539375,2535445,2552607,2543734,2527257,2521355,2512886,2512573
Missouri,MO,5194390,5211894,5299333,5308828,5323578,5335434,5343885,5359627
Montana,MT,742072,747748,749018,753582,765861,778607,791719,798731
Nebraska,NE,1545849,1556354,1754837,1759513,1784114,1786149,1789997,1799508
Nevada,NV,2768047,2822636,2832273,2874989,2906645,2934572,2966103,2981414
New Hampshire,NH,883053,888346,849619,851657,863017,869997,873905,878178
New Jersey,NJ,7963631,8018097,7947833,7924343,8279024,8267771,8262926,8288925
New Mexico,NM,1774661,1780678,1801817,1803022,1820853,1819401,1817223,1818106
New York,NY,17660481,17753598,17074791,16997336,17610152,17331412,17192696,17100136
North Carolina,NC,6631229,6713986,7894251,7973671,7950174,8021627,8134002,8237791
North Dakota,ND,702333,699962,713531,715395,731260,727491,731540,735920
Ohio,OH,9771921,9809140,9816237,9815950,9901174,9892298,9872178,9897267
Oklahoma,OK,3593399,3600087,3583323,3595948,3600546,3622909,3653044,3683964
Oregon,OR,3445307,3486810,3533823,3556611,3576686,3580575,3575500,3569783
Pennsylvania,PA,9417111,9432808,9335064,9331367,9468135,9449498,9455294,9447768
Rhode Island,RI,943071,945939,944353,946181,979110,978557,976881,978871
South Carolina,SC,3725371,3772866,3855997,3904982,3891342,3936830,4006552,4075510
South Dakota,SD,785109,788930,753308,755378,757461,764529,776865,784972
Tennessee,TN,6087058,6146353,6160242,6214077,6296831,6346967,6416232,6484614
Texas,TX,25158299,25557399,27327755,27607715,27818869,28114302,28591918,29042967
Utah,UT,2995452,3045143,3096343,3140277,3214451,3269589,3311537,3347714
Vermont,VT,443316,442651,382403,380992,392292,394169,395082,395326
Virginia,VA,6677652,6723863,6934535,6949055,7027639,7035967,7069628,7095744
Washington,WA,6201066,6301249,6459585,6527564,6616621,6633686,6674055,6697280
West Virginia,WV,1442417,1430408,1422373,1411594,1409744,1404357,1398211,1394206
Wisconsin,WI,4107306,4119229,4203809,4210220,4260757,4263350,4260914,4274230
Wyoming,WY,466949,462015,460371,461186,459997,461221,463275,465407
Total US,US,276969134,279222793,284075868,285017981,287798584,288123117,289330482,290756586
