fips,STATEFIPS,STATE,COUNTY,REGION,TERRITORY,ACS_TOT_POP_WT,ACS_AVG_HH_SIZE,ACS_PCT_CHILD_DISAB,ACS_MEDIAN_AGE_MALE,ACS_MEDIAN_AGE_FEMALE,ACS_PCT_AGE_0_4,ACS_PCT_AGE_5_9,ACS_PCT_AGE_10_14,ACS_PCT_AGE_15_17,ACS_PCT_AGE_0_17,ACS_PCT_AGE_18_29,ACS_PCT_AGE_18_44,ACS_PCT_AGE_30_44,ACS_PCT_AGE_45_64,ACS_PCT_AGE_50_64,ACS_PCT_AGE_ABOVE65,ACS_PCT_AGE_ABOVE80,ACS_PCT_BLACK,ACS_PCT_CHILD_1FAM,ACS_GINI_INDEX,ACS_PCT_HH_FOOD_STMP,AHRF_TOT_DENTISTS,AHRF_DENTISTS_RATE,CDCW_TOT_POPULATION,CDCW_INJURY_DTH_RATE,CDCW_SELFHARM_DTH_RATE,CDCW_ASSAULT_DTH_RATE,CDCW_OPIOID_DTH_RATE,CDCW_DRUG_DTH_RATE,NEPHTN_HEATIND_100,MMD_DEPR_DISD,MMD_PERSONALITY_DISD
1001,1,Alabama,Autauga County,South,0,55639,2.55,7.83,37.3,40.3,5.81,6.69,6.55,4.56,23.62,14.91,34.18,19.27,26.94,19.74,15.26,3.07,19.53,27.41,0.46,10.61,19,0.34,278535,51.34,18.67,7.18,,9.33,35,14,1
1003,1,Alabama,Baldwin County,South,0,218289,2.56,4.24,41.8,44.5,5.48,5.3,6.95,3.8,21.53,12.83,30.48,17.64,27.51,21.03,20.48,4.05,8.77,18.1,0.46,6.88,112,0.49,1091734,50.1,19.6,3.57,10.26,16.49,34,15,1
1005,1,Alabama,Barbour County,South,0,25026,2.37,6.43,38.1,43.1,5.32,6.19,5.71,3.64,20.87,15.4,34.75,19.36,25.29,19.18,19.09,4.07,47.67,52.76,0.5,24.27,9,0.37,125391,75.76,15.95,12.76,,,33,17,1
1007,1,Alabama,Bibb County,South,0,22374,2.85,3.88,38.7,42.4,5.6,5.3,5.35,4.23,20.49,15.96,36.36,20.41,26.72,19.51,16.43,3.15,22.55,32.19,0.45,18.54,6,0.27,112241,68.6,16.04,,,25.84,28,22,2
1009,1,Alabama,Blount County,South,0,57755,2.7,3.32,39.9,42.2,6.07,6.04,7.06,3.99,23.15,14.11,32.05,17.93,26.83,20.02,17.98,4.96,1.4,25.75,0.47,10.48,11,0.19,289262,69.49,21.09,5.88,10.72,24.2,10,19,2
1011,1,Alabama,Bullock County,South,0,10173,2.84,7.72,37.7,42.8,5.84,5.73,7.17,3.67,22.4,17,33.31,16.32,28.18,20.91,16.1,3.32,68.61,50.41,0.5,24.29,2,0.2,50886,90.4,,,,,32,9,1
1013,1,Alabama,Butler County,South,0,19726,2.92,4.91,39.1,43.9,5.89,5.95,6.6,3.88,22.31,13.74,31.9,18.16,25.05,19.78,20.74,4.29,44.59,39.55,0.47,15.78,7,0.36,98455,88.37,13.2,21.33,,14.22,29,13,2
1015,1,Alabama,Calhoun County,South,0,114324,2.5,5.57,38.2,41.1,5.83,5.93,6.07,3.84,21.67,16.27,34.39,18.12,26.24,20.11,17.71,3.43,21.16,34.42,0.46,15.84,77,0.68,570690,67.11,22.25,10.34,4.73,19.63,7,19,2
1017,1,Alabama,Chambers County,South,0,33427,2.42,3.07,40,43.7,5.94,5.29,6.05,3.5,20.78,15.06,31.82,16.77,27.86,21.36,19.54,3.76,40,44.71,0.42,16.11,7,0.21,167290,86.08,26.9,11.36,,10.16,9,14,1
1019,1,Alabama,Cherokee County,South,0,26035,2.38,2.32,45.7,47.9,4.33,5.06,6.08,3.74,19.22,12.78,28.09,15.31,29.76,23.53,22.93,5.1,4.8,19.49,0.46,13.43,4,0.15,130104,74.56,23.06,,,16.14,9,19,2
1021,1,Alabama,Chilton County,South,0,44147,2.55,6.27,38.3,40.5,6.22,6.55,6.67,4.48,23.92,14.5,33.52,19.02,25.98,19.48,16.58,3.38,9.67,34.19,0.46,14.03,13,0.29,220986,62.9,14.03,,7.24,14.48,16,19,1
1023,1,Alabama,Choctaw County,South,0,12755,2.36,6.44,44.7,47.8,5.26,4.12,6.77,3.83,19.98,12.87,28.32,15.44,28.59,22.47,23.11,4.52,42.32,37.97,0.45,19.85,6,0.48,63786,79.95,,,,,37,12,1
1025,1,Alabama,Clarke County,South,0,23866,2.52,6.43,41.5,44,5.66,5.21,6.61,4.15,21.63,14.45,31.12,16.66,27.37,21.14,19.88,5.12,45.71,32.82,0.53,20.05,8,0.34,119308,77.11,20.12,10.06,,11.73,38,13,1
1027,1,Alabama,Clay County,South,0,13285,2.53,5.37,42.5,44.7,5.43,4.76,6.96,3.43,20.59,14.08,31.12,17.04,27.93,21.7,20.37,5.15,15.32,26.71,0.48,12.01,2,0.15,66481,76.71,24.07,,,15.04,2,14,1
1029,1,Alabama,Cleburne County,South,0,14952,2.53,6.77,41.4,45,5.94,6.87,5.91,3.82,22.54,13.37,29.92,16.55,26.98,19.86,20.56,4.57,2.64,18.34,0.46,12.65,0,0,74688,93.72,17.41,,,,4,14,1
1031,1,Alabama,Coffee County,South,0,52238,2.59,5.97,37.9,40.9,6.17,5.88,7.53,4.06,23.65,14.54,33.47,18.92,25.93,19.17,16.96,3.75,17.05,32.2,0.43,12.59,18,0.34,260581,56.41,14.97,6.91,,9.21,37,21,1
1033,1,Alabama,Colbert County,South,0,54957,2.5,3.14,39.1,45,5.62,5.95,5.78,3.57,20.93,14.34,31.78,17.44,27.46,20.88,19.83,4.93,16.21,36.51,0.44,13.7,29,0.52,274130,61.65,19.33,6.2,4.01,9.85,20,21,3
1035,1,Alabama,Conecuh County,South,0,12219,2.66,4.67,43.1,47.2,3.72,6.73,6.73,3.67,20.84,13.54,28.95,15.42,27.52,21.74,22.68,3.76,48.06,51.57,0.44,16.05,2,0.17,61059,78.61,,16.38,,19.65,37,10,0
1037,1,Alabama,Coosa County,South,0,10696,2.57,9.08,46.6,50.3,4.34,3.16,5.88,3.1,16.48,12.4,28.21,15.81,31.97,25.18,23.35,4.73,32.26,44.96,0.43,10.33,0,0,53363,88.08,,,,,13,13,0
1039,1,Alabama,Covington County,South,0,37096,2.43,6.58,41.6,45.2,5.77,6.36,5.84,3.78,21.75,13.1,29.76,16.66,27.31,21.32,21.18,5.89,12.69,29.04,0.48,14.04,14,0.38,185515,73.85,19.41,6.47,,11.32,34,18,1
1041,1,Alabama,Crenshaw County,South,0,13826,2.72,5.06,40.7,44.1,5.32,6.39,6.57,4.02,22.31,13.69,31.15,17.46,27.27,21.17,19.27,4,23.63,30.95,0.52,20.49,3,0.22,69061,76.74,,,,,27,14,1
1043,1,Alabama,Cullman County,South,0,83345,2.59,4.04,40.3,42.5,6.19,6.12,6.2,3.93,22.45,14.35,32.24,17.88,26.91,20.41,18.41,4.3,1.13,23.38,0.44,10.77,41,0.49,416951,63.32,22.3,4.8,11.99,22.78,10,19,3
1045,1,Alabama,Dale County,South,0,49293,2.47,4.89,35.8,40.3,6.61,6.73,5.83,3.81,22.98,16.45,35.06,18.62,25.05,18.88,16.9,3.98,20.68,36,0.45,18.8,16,0.33,245539,61.09,20.36,6.52,,7.74,34,18,1
1047,1,Alabama,Dallas County,South,0,38184,2.44,4.56,37.9,40.7,6.25,6.95,6.61,4.32,24.13,14.88,31.53,16.64,26.36,20.85,17.99,4.4,71.47,64.22,0.47,30.33,12,0.33,190827,96.95,13.1,35.63,,,46,13,1
