Year,State,Highest Adjusted CWS Monthly Fluoride Average,CWS Adjusted Name
2023,AK,0.80,BARROW UTILITIES & ELEC. COOP.
2023,AL,0.99,GUNTERSVILLE WATER WORKS & SEWER BOARD (2  Well #1)
2023,AR,1.03,SOUTH SHERIDAN WATER ASSOC
2023,AZ,,Operational Data Not Reported
2023,CA,,Operational Data Not Reported
2023,CO,0.81,Eagle-Town of (2)
2023,CT,0.75,CROMWELL FIRE DISTRICT WATER DEPT
2023,DC,,Operational Data Not Reported
2023,DE,1.16,GREENWOOD WATER DEPARTMENT (TP 2)
2023,FL,0.97,"SUNRISE #1, CITY OF"
2023,GA,1.09,CENTERVILLE
2023,HI,,Operational Data Not Reported
2023,IA,1.02,Albert City Municipal Water Supply
2023,ID,0.70,MOUNTAIN HOME AIR FORCE BASE
2023,IL,,Operational Data Not Reported
2023,IN,1.27,MILFORD
2023,KS,5.69,"KINSLEY, CITY OF"
2023,KY,2.05,ARLIE BOGGS ELEM SCHOOL
2023,LA,1.05,"WALKER, TOWN OF"
2023,MA,0.85,ESSEX
2023,MD,0.89,POCOMOKE CITY
2023,ME,,Operational Data Not Reported
2023,MI,1.17,BANGOR
2023,MN,,Operational Data Not Reported
2023,MO,1.18,CALIFORNIA
2023,MS,1.08,CITY OF OXFORD (TF082)
2023,MT,,Operational Data Not Reported
2023,NC,1.03,CITY OF CLINTON (Well Site 17)
2023,ND,1.16,BARNES RURAL WATER DISTRICT
2023,NE,0.89,"LINCOLN, CITY OF"
2023,NH,0.72,CITY OF CONCORD
2023,NJ,,Operational Data Not Reported
2023,NM,,Operational Data Not Reported
2023,NV,0.73,SOUTHERN NEVADA WATER SYSTEM (2 River Mountains)
2023,NY,,Operational Data Not Reported
2023,OH,1.18,WEST MILTON VILLAGE PWS
2023,OK,0.87,CHICKASHA MUNICIPAL AUTHORITY
2023,OR,,Operational Data Not Reported
2023,PA,,Operational Data Not Reported
2023,RI,0.79,"CUMBERLAND, TOWN OF (Girard Rd. Pump Station)"
2023,SC,1.68,HIGH HILLS RURAL WATER (1)
2023,SD,1.00,DAKOTA DUNES
2023,TN,0.92,HENRY WATER SYSTEM
2023,TX,,Operational Data Not Reported
2023,UT,0.78,MIDVALE CITY WATER SYSTEM
2023,VA,1.06,"CULPEPER, TOWN OF"
2023,VT,0.88,NORTHFIELD WATER DEPARTMENT
2023,WA,,Operational Data Not Reported
2023,WI,0.93,DODGEVILLE
2023,WV,1.10,CITY OF WELCH
2023,WY,,Operational Data Not Reported
2022,AK,0.86,BARROW UTILITIES & ELEC. COOP.
2022,AL,1.00,"WATER WORKS BOARD OF PRATTVILLE (PRATTVILLE (WELL 16,17 &amp18))"
2022,AR,1.12,RECTOR WATERWORKS
2022,AZ,,Operational Data Not Reported
2022,CA,,Operational Data Not Reported
2022,CO,0.80,Craig-City of
