YearEnd,LocationAbbr,LocationDesc,DataSource,Topic,Question,DataValueUnit,DataValueType,DataValue,LowConfidenceLimit,HighConfidenceLimit,StratificationCategory1,Stratification1,StratificationCategory2,LocationID,TopicID,QuestionID,StratificationCategoryID1
2015,SC,South Carolina,BRFSS,Cardiovascular Disease,Influenza vaccination among noninstitutionalized adults aged 18-64 years with a history of coronary heart disease or stroke,%,Age-adjusted Prevalence,,,,Race/Ethnicity,"Other, non-Hispanic",,45,CVD,CVD9_1,RACE
2014,CO,Colorado,NVSS,Cardiovascular Disease,Mortality from heart failure,"cases per 100,000",Age-adjusted Rate,82.1,79.6,84.6,Overall,Overall,,8,CVD,CVD1_4,OVERALL
2011,NC,North Carolina,BRFSS,Chronic Obstructive Pulmonary Disease,Prevalence of chronic obstructive pulmonary disease among adults >= 18,%,Crude Prevalence,,,,Race/Ethnicity,Hispanic,,37,COPD,COPD2_0,RACE
2015,AL,Alabama,BRFSS,Cancer,"Fecal occult blood test, sigmoidoscopy, or colonoscopy among adults aged 50-75 years",%,Crude Prevalence,60.3,43.7,74.9,Race/Ethnicity,"Other, non-Hispanic",,1,CAN,CAN3_0,RACE
2017,KS,Kansas,CMS Part A Claims Data,Chronic Obstructive Pulmonary Disease,Hospitalization for chronic obstructive pulmonary disease as first-listed diagnosis among Medicare-eligible persons aged >= 65 years,"cases per 1,000",Age-adjusted Rate,10.53,8.51,12.54,Race/Ethnicity,"Black, non-Hispanic",,20,COPD,COPD5_3,RACE
2018,NC,North Carolina,BRFSS,Arthritis,Arthritis among adults aged >= 18 years,%,Age-adjusted Prevalence,27.7,25.8,29.7,Gender,Female,,37,ART,ART1_1,GENDER
2013,IA,Iowa,BRFSS,Tobacco,Pneumococcal vaccination among noninstitutionalized adults aged >= 65 years who smoke,%,Age-adjusted Prevalence,63.0,54.2,71.0,Overall,Overall,,19,TOB,TOB11_2,OVERALL
2013,IN,Indiana,BRFSS,Reproductive Health,Timeliness of routine health care checkup among women aged 18-44 years,%,Crude Prevalence,50.2,37.5,62.8,Race/Ethnicity,"Other, non-Hispanic",,18,RPH,RPH1_0,RACE
2016,DE,Delaware,BRFSS,Diabetes,Prevalence of diagnosed diabetes among adults aged >= 18 years,%,Age-adjusted Prevalence,12.2,9.2,16.0,Race/Ethnicity,"Black, non-Hispanic",,10,DIA,DIA2_1,RACE
2011,NH,New Hampshire,BRFSS,Arthritis,Arthritis among adults aged >= 18 years who have diabetes,%,Crude Prevalence,51.2,46.4,55.9,Overall,Overall,,33,ART,ART1_3,OVERALL
2017,VA,Virginia,STATE,Tobacco,States with strong polices that require retail licenses to sell tobacco products,,Yes/No,No,,,Overall,Overall,,51,TOB,TOB5_0,OVERALL
2010,OR,Oregon,NVSS,Cardiovascular Disease,Mortality from diseases of the heart,"cases per 100,000",Age-adjusted Rate,86.9,56.2,128.3,Race/Ethnicity,American Indian or Alaska Native,,41,CVD,CVD1_2,RACE
2011,OK,Oklahoma,BRFSS,"Nutrition, Physical Activity, and Weight Status",No leisure-time physical activity among adults aged >= 18 years,%,Crude Prevalence,31.7,30.1,33.4,Gender,Female,,40,NPAW,NPAW10_0,GENDER
2012,CT,Connecticut,NVSS,Cardiovascular Disease,Mortality from coronary heart disease,,Number,4053.0,,,Overall,Overall,,9,CVD,CVD1_3,OVERALL
2016,ND,North Dakota,BRFSS,Cardiovascular Disease,Influenza vaccination among noninstitutionalized adults aged 18-64 years with a history of coronary heart disease or stroke,%,Age-adjusted Prevalence,46.3,34.8,58.1,Gender,Female,,38,CVD,CVD9_1,GENDER
2019,OR,Oregon,BRFSS,Diabetes,Prevalence of depressive disorders among adults aged >= 18 years with diagnosed diabetes,%,Age-adjusted Prevalence,,,,Race/Ethnicity,"Multiracial, non-Hispanic",,41,DIA,DIA11_3,RACE
2013,ND,North Dakota,BRFSS,Cancer,Mammography use among women aged 50-74 years,%,Crude Prevalence,,,,Overall,Overall,,38,CAN,CAN1_0,OVERALL
2019,IN,Indiana,BRFSS,Diabetes,Adults with diagnosed diabetes aged >= 18 years who have taken a diabetes self-management course,%,Crude Prevalence,57.6,53.1,62.0,Gender,Male,,18,DIA,DIA10_0,GENDER
2012,DC,District of Columbia,BRFSS,"Nutrition, Physical Activity, and Weight Status",Healthy weight among adults aged >= 18 years,%,Age-adjusted Prevalence,44.1,40.5,47.7,Gender,Male,,11,NPAW,NPAW3_1,GENDER
2017,AR,Arkansas,BRFSS,"Nutrition, Physical Activity, and Weight Status",No leisure-time physical activity among adults aged >= 18 years,%,Age-adjusted Prevalence,31.4,28.6,34.3,Race/Ethnicity,"White, non-Hispanic",,5,NPAW,NPAW10_0,RACE
2012,DC,District of Columbia,BRFSS,Arthritis,Fair or poor health among adults aged >= 18 years with arthritis,%,Crude Prevalence,34.6,26.7,43.3,Gender,Male,,11,ART,ART4_0,GENDER
