year,name,fips,type,Data_Value_Type,Census population,Number of PWS adjusting fluoride,Number of PWS consecutive to systems with optimal fluoride levels,Number of PWS providing fluoridated water,Number of PWS with fluoride below the recommended level,Number of PWS with naturally occurring fluoride at or above optimal levels,PWS population,PWS population receiving fluoridated water from PWS adjusting fluoride,PWS population receiving fluoridated water from PWS consecutive to systems with optimal fluoride levels,PWS population receiving fluoridated water from PWS with natural fluoride at or above the recommended level,PWS population receiving water from PWS with fluoride below the recommended level,Percentage of PWS population receiving fluoridated water,Percentage of PWS population receiving fluoridated water from PWS adjusting fluoride,Percentage of PWS population receiving fluoridated water from PWS consecutive to systems with optimal fluoride levels,Percentage of PWS population receiving fluoridated water from PWS with natural fluoride at or above the recommended level,Percentage of PWS population receiving water from PWS with less than the recommended level,Population on fluoridated drinking water systems,Total number of PWS
2020,Abbeville County,45001,Adjusted,Number of PWS,,0,,,,,,,,,,,,,,,,
2020,Abbeville County,45001,Total,Number of PWS,,,,,,,,,,,,,,,,,,6
2020,Abbeville County,45001,Non-Fluoridated,Population,,,,,,,,,,,7800,,,,,,,
2020,Abbeville County,45001,Non-Fluoridated,Percent,,,,,,,,,,,,,,,,61.2,,
2020,Abbeville County,45001,Non-Fluoridated,Number of PWS,,,,,5,,,,,,,,,,,,,
2020,Abbeville County,45001,Natural,Population,,,,,,,,,,0,,,,,,,,
2020,Abbeville County,45001,Natural,Percent,,,,,,,,,,,,,,,0,,,
2020,Abbeville County,45001,Total,Population,,,,,,,12752,,,,,,,,,,,
2020,Abbeville County,45001,Natural,Number of PWS,,,,,,0,,,,,,,,,,,,
2020,Abbeville County,45001,Fluoridated,Percent,,,,,,,,,,,,38.8,,,,,,
2020,Abbeville County,45001,Fluoridated,Number of PWS,,,,1,,,,,,,,,,,,,,
2020,Abbeville County,45001,Consecutive,Population,,,,,,,,,4953,,,,,,,,,
2020,Abbeville County,45001,Consecutive,Percent,,,,,,,,,,,,,,38.8,,,,
2020,Abbeville County,45001,Consecutive,Number of PWS,,,1,,,,,,,,,,,,,,,
2020,Abbeville County,45001,Census,Population,24212,,,,,,,,,,,,,,,,,
2020,Abbeville County,45001,Fluoridated,Population,,,,,,,,,,,,,,,,,4953,
2020,Abbeville County,45001,Adjusted,Population,,,,,,,,,,,,,,,,,,
2020,Abbeville County,45001,Adjusted,Percent,,,,,,,,,,,,,,,,,,
2020,Acadia County,22001,Adjusted,Population,,,,,,,,15880,,,,,,,,,,
2020,Acadia County,22001,Total,Population,,,,,,,50201,,,,,,,,,,,
2020,Acadia County,22001,Total,Number of PWS,,,,,,,,,,,,,,,,,,13
2020,Acadia County,22001,Non-Fluoridated,Population,,,,,,,,,,,34321,,,,,,,
2020,Acadia County,22001,Non-Fluoridated,Percent,,,,,,,,,,,,,,,,68.4,,
2020,Acadia County,22001,Non-Fluoridated,Number of PWS,,,,,12,,,,,,,,,,,,,
2020,Acadia County,22001,Natural,Population,,,,,,,,,,0,,,,,,,,
2020,Acadia County,22001,Adjusted,Percent,,,,,,,,,,,,,31.6,,,,,
2020,Acadia County,22001,Natural,Percent,,,,,,,,,,,,,,,0,,,
2020,Acadia County,22001,Fluoridated,Percent,,,,,,,,,,,,31.6,,,,,,
2020,Acadia County,22001,Fluoridated,Number of PWS,,,,1,,,,,,,,,,,,,,
