yearend,State,TotalRecords,DiabetesAmongAdults,PercentageDiabetesAmongAdults
2019,Alabama,177,16,9.039548023
2020,Alabama,144,14,9.722222222
2021,Alabama,146,16,10.95890411
2022,Alabama,54,13,24.07407407
2019,Alaska,174,11,6.32183908
2020,Alaska,149,16,10.73825503
2021,Alaska,140,18,12.85714286
2022,Alaska,60,21,35
2019,Arizona,181,19,10.49723757
2020,Arizona,159,19,11.94968553
2021,Arizona,156,18,11.53846154
2022,Arizona,60,18,30
2019,Arkansas,178,18,10.11235955
2020,Arkansas,146,17,11.64383562
2021,Arkansas,146,17,11.64383562
2022,Arkansas,52,19,36.53846154
2019,California,187,19,10.16042781
2020,California,149,17,11.40939597
2021,California,145,18,12.4137931
2022,California,66,23,34.84848485
2019,Colorado,184,17,9.239130435
2020,Colorado,154,18,11.68831169
2021,Colorado,160,17,10.625
2022,Colorado,58,15,25.86206897
2019,Connecticut,175,19,10.85714286
2020,Connecticut,145,18,12.4137931
2021,Connecticut,151,19,12.58278146
2022,Connecticut,56,17,30.35714286
2019,Delaware,157,15,9.554140127
2020,Delaware,138,15,10.86956522
2021,Delaware,141,15,10.63829787
2022,Delaware,52,16,30.76923077
2019,District of Columbia,158,13,8.227848101
2020,District of Columbia,126,14,11.11111111
2021,District of Columbia,140,16,11.42857143
2022,District of Columbia,54,13,24.07407407
2019,Florida,191,17,8.90052356
2020,Florida,155,6,3.870967742
2021,Florida,97,0,0
2022,Florida,60,16,26.66666667
2019,Georgia,179,16,8.938547486
2020,Georgia,153,17,11.11111111
2021,Georgia,154,17,11.03896104
2022,Georgia,59,17,28.81355932
2019,Guam,66,17,25.75757576
2020,Guam,57,15,26.31578947
2021,Guam,51,16,31.37254902
2022,Guam,53,16,30.18867925
2019,Hawaii,191,19,9.947643979
2020,Hawaii,158,19,12.02531646
2021,Hawaii,162,19,11.72839506
2022,Hawaii,63,19,30.15873016
2019,Idaho,156,13,8.333333333
2020,Idaho,129,13,10.07751938
2021,Idaho,129,14,10.85271318
2022,Idaho,50,15,30
2019,Illinois,181,17,9.392265193
2020,Illinois,137,15,10.94890511
2021,Illinois,147,15,10.20408163
2022,Illinois,56,17,30.35714286
2019,Indiana,165,19,11.51515152
2020,Indiana,143,17,11.88811189
2021,Indiana,147,18,12.24489796
2022,Indiana,60,18,30
