state,region,year,pop_fl_water,pop_cws,pop_cws_fl,rank
Alabama,South,2000,3699090,4452375,83.1,18
Alabama,South,2002,3786843,4477571,84.6,19
Alabama,South,2004,3972563,4517442,87.9,18
Alabama,South,2006,3814295,4599030,82.9,20
Alabama,South,2008,3834244,4661900,82.2,20
Alabama,South,2010,3821766,4779736,80,22
Alabama,South,2012,3812180,4849377,78.6,23
Alabama,South,2014,3812180,4849377,78.6,23
Alabama,South,2016,3367031,4314476,78,24
Alabama,South,2018,3388374,4345270,78,24
Alabama,South,2020,3469133,4467001,77.7,24
Alaska,West,2000,270099,489371,55.2,34
Alaska,West,2002,296559,517262,57.3,35
Alaska,West,2004,307205,516646,59.5,35
Alaska,West,2006,308801,519379,59.5,35
Alaska,West,2008,404213,643171,62.8,33
Alaska,West,2010,404039,643373,62.8,36
Alaska,West,2012,361240,682528,52.9,41
Alaska,West,2014,335555,680780,49.3,43
Alaska,West,2016,233192,469850,49.6,44
Alaska,West,2018,272280,548898,49.6,44
Alaska,West,2020,229789,545179,42.1,45
Arizona,West,2000,2700354,4869065,55.5,33
Arizona,West,2002,2737028,4944156,55.4,38
Arizona,West,2004,2890016,5183216,55.8,38
Arizona,West,2006,3147245,5611581,56.1,38
Arizona,West,2008,2891937,5540666,52.3,41
Arizona,West,2010,3114799,5493584,56.7,38
Arizona,West,2012,3199068,5536324,57.8,38
Arizona,West,2014,3199068,5536324,57.8,38
Arizona,West,2016,3868308,6694514,57.8,39
Arizona,West,2018,4028381,6942498,58,38
Arizona,West,2020,4011354,6948635,57.7,39
Arkansas,South,2000,1147109,2384311,48.1,39
Arkansas,South,2002,1516246,2430114,62.4,32
Arkansas,South,2004,1661599,2523490,65.8,32
Arkansas,South,2006,1648317,2561312,64.4,33
Arkansas,South,2008,1548556,2560592,60.5,35
Arkansas,South,2010,1724131,2666306,64.7,33
Arkansas,South,2012,1785679,2669485,66.9,33
Arkansas,South,2014,1973169,2808508,70.3,32
Arkansas,South,2016,2431541,2840231,85.6,20
Arkansas,South,2018,2448389,2867653,85.4,21
Arkansas,South,2020,2458935,2866138,85.8,20
California,West,2000,9551961,33238057,28.7,45
California,West,2002,9052872,32736317,27.7,45
California,West,2004,9241220,35841254,25.8,47
California,West,2006,9881390,36457549,27.1,48
California,West,2008,21545671,36756666,58.8,36
California,West,2010,22812721,36756666,62.1,37
California,West,2012,24215234,38041430,63.7,34
California,West,2014,24699693,38802500,63.7,34
California,West,2016,22201744,36641304,60.6,37
California,West,2018,22613284,38106418,59.3,37
California,West,2020,21879582,38051212,57.5,40
Colorado,West,2000,2680750,3670761,73,25
