year,state,jurisdiction,fips,type,data_type,census_population,number_pws_adjusting_fl,number_pws_consecutive_optimal_fl,number_pws_fl_water,number_pws_fl_below_recom_level,number_pws_natural_fl_ at_above_optimal_level,pws_pop,pws_pop_ fl_ water_pws_adjust_fl,pws_pop_ fl_water_pws_consecutive_tosystems_optimal_fl,pws_pop_fl_water_pws_natural_fl_at_above_recom_level,pws_pop_water_pws_fl_below_recom_level,percent_pws_pop_fl_water,percent_pws_pop_ fl_water_pws_adjust_fl,percent_pop_fl_water_pws_consecutive_optimal_fl,percent_pws_pop_fl_water_pws_natural_fl _at_above_recom_level,percent_pws_pop_water_pws_less_recom_level,pop_on_fl_ drinking water_systems,total_number_pws
2018,Alabama,AL,1,Adjusted,Percent,,,,,,,,,,,,,60.4,,,,,
2020,Alabama,AL,1,Non-Fluoridated,Percent,,,,,,,,,,,,,,,,22.3,,
2020,Alabama,AL,1,Natural,Population,,,,,,,,,,40776,,,,,,,,
2020,Alabama,AL,1,Natural,Percent,,,,,,,,,,,,,,,0.9,,,
2020,Alabama,AL,1,Natural,Number of PWS,,,,,,11,,,,,,,,,,,,
2020,Alabama,AL,1,Fluoridated,Population,,,,,,,,,,,,,,,,,3469133,
2020,Alabama,AL,1,Fluoridated,Percent,,,,,,,,,,,,77.7,,,,,,
2020,Alabama,AL,1,Fluoridated,Number of PWS,,,,264,,,,,,,,,,,,,,
2020,Alabama,AL,1,Consecutive,Population,,,,,,,,,741024,,,,,,,,,
2020,Alabama,AL,1,Consecutive,Percent,,,,,,,,,,,,,,16.6,,,,
2020,Alabama,AL,1,Consecutive,Number of PWS,,,148,,,,,,,,,,,,,,,
2020,Alabama,AL,1,Census,Population,5024803,,,,,,,,,,,,,,,,,
2020,Alabama,AL,1,Adjusted,Population,,,,,,,,2687334,,,,,,,,,,
2020,Alabama,AL,1,Adjusted,Percent,,,,,,,,,,,,,60.2,,,,,
2020,Alabama,AL,1,Non-Fluoridated,Population,,,,,,,,,,,997868,,,,,,,
2020,Alabama,AL,1,Total,Number of PWS,,,,,,,,,,,,,,,,,,531
2020,Alabama,AL,1,Total,Population,,,,,,,4467001,,,,,,,,,,,
2018,Alabama,AL,1,Total,Population,,,,,,,4345270,,,,,,,,,,,
2018,Alabama,AL,1,Adjusted,Population,,,,,,,,2624727,,,,,,,,,,
2018,Alabama,AL,1,Census,Population,4887871,,,,,,,,,,,,,,,,,
2018,Alabama,AL,1,Consecutive,Number of PWS,,,145,,,,,,,,,,,,,,,
2018,Alabama,AL,1,Consecutive,Percent,,,,,,,,,,,,,,16.3,,,,
2018,Alabama,AL,1,Consecutive,Population,,,,,,,,,708883,,,,,,,,,
2018,Alabama,AL,1,Fluoridated,Number of PWS,,,,263,,,,,,,,,,,,,,
2018,Alabama,AL,1,Fluoridated,Percent,,,,,,,,,,,,78,,,,,,
2018,Alabama,AL,1,Fluoridated,Population,,,,,,,,,,,,,,,,,3388374,
2018,Alabama,AL,1,Natural,Number of PWS,,,,,,11,,,,,,,,,,,,
2018,Alabama,AL,1,Natural,Percent,,,,,,,,,,,,,,,1.3,,,
2018,Alabama,AL,1,Natural,Population,,,,,,,,,,54764,,,,,,,,
2018,Alabama,AL,1,Non-Fluoridated,Number of PWS,,,,,268,,,,,,,,,,,,,
2018,Alabama,AL,1,Non-Fluoridated,Percent,,,,,,,,,,,,,,,,22,,
2018,Alabama,AL,1,Non-Fluoridated,Population,,,,,,,,,,,956896,,,,,,,
2018,Alabama,AL,1,Total,Number of PWS,,,,,,,,,,,,,,,,,,531
2018,Alabama,AL,1,Adjusted,Number of PWS,,106,,,,,,,,,,,,,,,,
2020,Alabama,AL,1,Non-Fluoridated,Number of PWS,,,,,267,,,,,,,,,,,,,
2016,Alabama,AL,1,Adjusted,Number of PWS,,105,,,,,,,,,,,,,,,,
2020,Alabama,AL,1,Adjusted,Number of PWS,,104,,,,,,,,,,,,,,,,
2016,Alabama,AL,1,Total,Number of PWS,,,,,,,,,,,,,,,,,,531
2016,Alabama,AL,1,Non-Fluoridated,Population,,,,,,,,,,,947445,,,,,,,
2016,Alabama,AL,1,Non-Fluoridated,Percent,,,,,,,,,,,,,,,,22,,
2016,Alabama,AL,1,Non-Fluoridated,Number of PWS,,,,,268,,,,,,,,,,,,,
2016,Alabama,AL,1,Natural,Population,,,,,,,,,,54376,,,,,,,,
2016,Alabama,AL,1,Natural,Percent,,,,,,,,,,,,,,,1.3,,,
2016,Alabama,AL,1,Natural,Number of PWS,,,,,,11,,,,,,,,,,,,
2016,Alabama,AL,1,Fluoridated,Population,,,,,,,,,,,,,,,,,3367031,
2016,Alabama,AL,1,Total,Population,,,,,,,4314476,,,,,,,,,,,
2016,Alabama,AL,1,Fluoridated,Number of PWS,,,,263,,,,,,,,,,,,,,
2016,Alabama,AL,1,Consecutive,Population,,,,,,,,,710453,,,,,,,,,
2016,Alabama,AL,1,Consecutive,Percent,,,,,,,,,,,,,,16.5,,,,
2016,Alabama,AL,1,Consecutive,Number of PWS,,,146,,,,,,,,,,,,,,,
2016,Alabama,AL,1,Census,Population,4858979,,,,,,,,,,,,,,,,,
2016,Alabama,AL,1,Adjusted,Population,,,,,,,,2602202,,,,,,,,,,
2016,Alabama,AL,1,Adjusted,Percent,,,,,,,,,,,,,60.3,,,,,
2016,Alabama,AL,1,Fluoridated,Percent,,,,,,,,,,,,78,,,,,,
2018,Alaska,AK,2,Total,Number of PWS,,,,,,,,,,,,,,,,,,647
2018,Alaska,AK,2,Non-Fluoridated,Population,,,,,,,,,,,276618,,,,,,,
2018,Alaska,AK,2,Non-Fluoridated,Percent,,,,,,,,,,,,,,,,50.4,,
2018,Alaska,AK,2,Non-Fluoridated,Number of PWS,,,,,616,,,,,,,,,,,,,
2018,Alaska,AK,2,Natural,Population,,,,,,,,,,0,,,,,,,,
2018,Alaska,AK,2,Natural,Percent,,,,,,,,,,,,,,,0,,,
2018,Alaska,AK,2,Natural,Number of PWS,,,,,,0,,,,,,,,,,,,
2018,Alaska,AK,2,Fluoridated,Population,,,,,,,,,,,,,,,,,272280,
2018,Alaska,AK,2,Fluoridated,Number of PWS,,,,31,,,,,,,,,,,,,,
2018,Alaska,AK,2,Consecutive,Population,,,,,,,,,16157,,,,,,,,,
2018,Alaska,AK,2,Consecutive,Percent,,,,,,,,,,,,,,2.9,,,,
2018,Alaska,AK,2,Census,Population,735925,,,,,,,,,,,,,,,,,
2018,Alaska,AK,2,Adjusted,Population,,,,,,,,256123,,,,,,,,,,
2018,Alaska,AK,2,Adjusted,Percent,,,,,,,,,,,,,46.7,,,,,
2018,Alaska,AK,2,Adjusted,Number of PWS,,23,,,,,,,,,,,,,,,,
2016,Alaska,AK,2,Adjusted,Number of PWS,,23,,,,,,,,,,,,,,,,
2018,Alaska,AK,2,Total,Population,,,,,,,548898,,,,,,,,,,,
2018,Alaska,AK,2,Fluoridated,Percent,,,,,,,,,,,,49.6,,,,,,
2018,Alaska,AK,2,Consecutive,Number of PWS,,,8,,,,,,,,,,,,,,,
2016,Alaska,AK,2,Total,Population,,,,,,,469850,,,,,,,,,,,
2020,Alaska,AK,2,Adjusted,Number of PWS,,17,,,,,,,,,,,,,,,,
2016,Alaska,AK,2,Natural,Population,,,,,,,,,,0,,,,,,,,
2016,Alaska,AK,2,Natural,Percent,,,,,,,,,,,,,,,0,,,
2016,Alaska,AK,2,Natural,Number of PWS,,,,,,0,,,,,,,,,,,,
2016,Alaska,AK,2,Fluoridated,Population,,,,,,,,,,,,,,,,,233192,
2016,Alaska,AK,2,Non-Fluoridated,Population,,,,,,,,,,,236658,,,,,,,
2016,Alaska,AK,2,Fluoridated,Percent,,,,,,,,,,,,49.6,,,,,,
2016,Alaska,AK,2,Fluoridated,Number of PWS,,,,31,,,,,,,,,,,,,,
